ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602
osa-miR160e	-7.04647585	-7.422039875	-6.1995888	-7.248274525	-7.6261693	-6.370011875	-6.331323825	-6.805918725	-6.71194175	-6.757600425	-6.398655225	-5.853627075
osa-miR156c	-6.276007975	-7.29479475	-6.759487575	-7.90396195	-7.7002832	-6.6503149	-7.77875725	-7.283678125	-7.4275015	-7.22003915	-6.811917575	-8.022777175
osa-miR156b	-8.301022825	-8.048543625	-7.4218098	-8.484159675	-8.584842575	-7.642520125	-8.52488235	-8.2100695	-8.49025375	-8.1218395	-7.304908625	-9.48193375
osa-miR156a	-7.82733875	-8.030146475	-7.481785425	-8.57517825	-8.281667	-7.7030424	-8.78110225	-8.57701075	-8.36467975	-8.238379825	-8.332683725	-9.481178125
osa-miR156g	-7.531940375	-7.728302475	-7.563503275	-7.639146925	-8.052699375	-7.4514231	-8.606299	-8.277581125	-8.5602815	-7.832039	-7.1690545	-9.247287
osa-miR156f	-7.1871479	-6.9528955	-7.132332725	-7.39323915	-7.14605125	-7.38927555	-7.65054575	-7.2527662	-8.067687625	-6.9098572	-6.9585278	-7.527609675
osa-miR156e	-7.563325	-7.4291239	-6.259225	-7.890439175	-7.698694575	-6.6383781	-7.70461445	-7.39944135	-7.93402525	-8.139874875	-7.49649125	-8.126563825
osa-miR156d	-5.415912075	-3.617010575	-3.562703625	-5.447630575	-5.346217875	-3.938207755	-5.234857	-5.2297685	-4.773118075	-5.35967855	-5.0837968	-5.39602685
osa-miR159f	-8.027575	-7.840801825	-5.838243575	-8.0279075	-7.73556775	-6.915923625	-7.47153525	-7.23319585	-8.200201	-6.572990675	-6.31193625	-7.4166978
osa-miR159d	-6.71397265	-6.51498055	-5.096328975	-7.5332875	-7.31243695	-5.6881368	-7.87894225	-7.31884365	-8.34474875	-7.4551187	-7.347100925	-8.485378425
osa-miR159e	-8.0892971	-8.76387925	-7.443519725	-8.4731635	-8.0564005	-6.7341363	-7.73596665	-7.208239075	-7.507598075	-7.15719475	-6.533764875	-7.87779035
osa-miR159b	-5.75646475	-5.197148075	-5.36789545	-5.85473215	-5.59435775	-5.205882075	-7.673181175	-7.4302015	-7.174310575	-6.0167195	-5.902838325	-6.37687485
osa-miR159c	-8.557277125	-8.525880375	-7.0769418	-8.578616	-8.290711875	-7.674250025	-8.89610775	-8.237862175	-8.37035075	-8.07912525	-7.50489905	-8.937531125
osa-miR390	-8.66885225	-9.1010715	-7.473506725	-9.6259705	-9.11869375	-6.59230105	-8.18258105	-8.741128425	-8.258057975	-8.168329625	-8.314720125	-9.1459614
osa-miR159a	-0.870229963	-0.339638475	-0.541287425	-0.286133528	0.51669359	-0.105873585	-2.792133825	-2.691876675	-2.8970008	-1.28282785	-1.47016335	-1.231244325
osa-miR530	-4.587169	-4.601421325	-4.46583575	-8.577709	-8.878915	-6.7227944	-6.1489064	-5.97620285	-7.230537675	-7.40014575	-7.592393175	-7.741578875
