ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602
osa-miR531	-8.099866438	-7.6230951	-6.654761138	-8.82918275	-8.154269125	-6.131622863	-8.898550788	-8.911799888	-7.947818	-8.9830715	-8.998965438	-8.423370975
osa-miR439g	-8.76592375	-9.151470125	-7.554123575	-9.674388125	-9.137527375	-6.1486484	-9.8235165	-9.83637875	-8.474778	-9.52716325	-10.15147025	-8.144919
osa-miR395v	-8.358897425	-8.915650875	-7.475808025	-9.301128	-9.156745	-7.695648075	-9.1883474	-9.760768	-8.5099235	-9.469720375	-9.8286045	-9.51027675
osa-miR439e	-8.81094875	-8.11451225	-7.11940165	-9.7099165	-8.7131985	-6.6897931	-9.72358075	-9.836423	-8.476712	-9.53524375	-10.043931	-9.0164905
osa-miR439d	-8.489510375	-8.437403825	-7.4953695	-8.387580575	-8.25383845	-7.7238742	-9.2612295	-9.184635	-8.43366175	-9.4717445	-10.09087625	-9.38262975
osa-miR439j	-7.230017925	-7.40109675	-6.730380225	-6.635912775	-8.2347124	-6.924949575	-8.6722716	-7.85886875	-7.557989675	-8.21112615	-8.154073675	-8.4596422
osa-miR439h	-8.30776875	-8.193076425	-6.816846425	-9.121451375	-7.56453855	-7.034242125	-9.206284	-9.6991185	-8.0176325	-9.5382065	-9.6462485	-8.0835068
osa-miR162a	-5.2803373	-4.3714079	-4.73228135	-5.42230845	-5.4364094	-5.94355625	-4.74142865	-5.000955	-4.593952125	-5.2536089	-5.487812475	-5.180762775
osa-miR162b	-5.121438675	-4.787431475	-5.193384275	-5.017412225	-4.7772154	-5.31752945	-5.63815735	-5.772767425	-6.42757065	-6.26871435	-6.2871921	-6.37472085
osa-miR394	-8.60941825	-9.146569	-7.48402895	-9.13953375	-8.851992	-7.702886725	-8.3035201	-9.35805125	-7.9091269	-8.752604075	-8.710817575	-8.121791
osa-miR441a	-6.907965	-7.968019325	-4.968328025	-9.17978525	-8.99633975	-6.6336585	-8.946985475	-9.127569	-8.07920875	-8.5610349	-8.91012385	-8.562735925
osa-miR399e	-8.635182375	-8.3634455	-7.49040075	-8.9587835	-8.801831325	-7.771220175	-8.85205775	-8.2742835	-8.575315	-8.2968755	-7.798038	-9.00540375
osa-miR441c	-5.261535925	-6.1608834	-3.2440485	-6.50627725	-6.241458225	-5.049831675	-6.8972114	-7.06417385	-5.953333375	-7.083994425	-6.6567142	-6.596186625
osa-miR446	-7.900559925	-9.170546625	-7.01593315	-9.1009865	-9.09585225	-7.57586975	-9.47300025	-9.26934975	-8.49377825	-8.778682375	-8.687367675	-9.334883
osa-miR393b	-8.29237425	-9.3767585	-7.597193875	-8.74258765	-9.30427325	-7.621155975	-7.337028125	-5.928195825	-7.1562084	-5.0470173	-6.118619225	-6.077155
osa-miR395s	-8.0428196	-8.568414125	-6.497217875	-9.545795	-8.99386225	-7.7020945	-9.56006775	-9.5646415	-7.683156825	-9.38710175	-9.617323	-9.42264375
osa-miR443	-8.24807475	-7.53076	-7.539814125	-9.512740375	-9.21807025	-7.7619338	-9.52133325	-9.586651	-8.541185	-9.361375625	-9.04214525	-9.531753
osa-miR440	-7.9025631	-7.9731565	-6.618114675	-8.323002475	-7.974113175	-6.364416525	-8.466259125	-8.3160806	-7.158424125	-7.92268575	-7.75542025	-8.08867175
osa-miR393	-6.608865225	-6.6644986	-6.12614145	-7.625901675	-7.5760245	-5.872926925	-7.399156275	-8.13745785	-7.1544306	-7.873420725	-7.32738135	-7.798819975
osa-miR529	-8.04027565	-7.55909115	-7.429133825	-9.36254525	-8.930555	-7.780123575	-7.68414665	-8.317673625	-7.107986375	-7.66219175	-7.31747125	-8.55689675
osa-miR528	-4.707076675	-4.59754875	-4.5671249	-5.100504525	-4.7536893	-4.244699725	-5.971677075	-5.913780375	-6.425785675	-4.743550525	-4.81374995	-5.265737825
osa-miR395t	-8.166416125	-8.65387955	-7.6244156	-8.88236325	-7.747422825	-7.75675905	-9.076613	-8.75521475	-8.592736	-8.654834625	-8.6565609	-9.575752375
