ID	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641
osa-miR395g	-8.9542962	-9.81954875	-8.152777	-8.66849425	-9.46475575	-8.078706275	-8.7211495	-9.267656125	-7.541910875
osa-miR395h	-9.078141	-9.78520925	-8.196253375	-9.413325875	-9.449097	-8.092062875	-8.664951	-10.32188413	-8.00335995
osa-miR395i	-9.380707	-8.81425875	-8.19929725	-9.801392	-9.467983625	-8.1120005	-8.25720025	-10.3463785	-8.02149965
osa-miR395j	-8.91900325	-9.392665	-8.163070375	-9.637485875	-8.588970875	-8.09094675	-8.71390775	-9.35612	-7.695844425
osa-miR395k	-9.361837	-9.6505245	-8.22364575	-9.7937945	-9.500396	-8.128515	-8.48546375	-10.363732	-8.044567675
osa-miR395l	-9.37262975	-9.59446325	-8.18711075	-9.77418575	-9.485043	-7.190899	-8.64734775	-10.3265645	-7.485956175
osa-miR395m	-8.955198875	-8.45586425	-7.736289825	-9.53774125	-9.450320375	-8.08892425	-8.2977639	-10.10208263	-7.992714975
osa-miR395n	-8.906469925	-9.41433925	-7.6014825	-9.788721	-9.49334625	-8.117816875	-8.752454	-10.1001445	-8.003282075
osa-miR395o	-9.317143	-9.76414175	-7.38585725	-9.728499375	-8.2813415	-8.0641576	-8.36075985	-9.61521275	-7.95848085
osa-miR168b	-4.91173635	-5.2064984	-5.452607275	-5.3668662	-4.9795092	-5.161474125	-5.584977875	-5.4406021	-5.3262692
osa-miR168a	0.772412305	1.31348655	1.287044775	0.934818263	0.546054123	1.16650198	0.59730577	0.81486774	0.925260555
osa-miR160b	-2.31536385	-1.684479225	-1.6682403	-2.5946014	-3.01849845	-2.718153225	-3.3951728	-2.38447525	-3.7220734
osa-miR160c	-5.1031761	-4.2072066	-4.013147575	-4.642790075	-5.3579868	-4.06356655	-5.938889175	-4.4672663	-5.62182245
osa-miR156i	-9.3538195	-8.128681075	-8.105229	-7.99790215	-9.03982975	-7.51454475	-8.80992175	-8.146007	-7.259294425
osa-miR160a	-4.89381135	-3.446498425	-3.6946901	-4.214907375	-4.8624918	-4.265111275	-5.53647365	-3.99548985	-5.4803058
osa-miR160f	-6.730938575	-5.916857175	-6.207000325	-5.745842025	-6.39639625	-6.2300956	-6.830228425	-5.4318446	-6.7767926
osa-miR160d	-2.5503433	-1.559669275	-1.707799675	-1.52689075	-2.031752575	-1.743927	-2.4682124	-1.685369725	-3.122172575
osa-miR160e	-3.41084435	-2.6067642	-2.48273325	-2.4143319	-2.771137	-2.244986975	-3.290153025	-2.27457855	-3.438295675
osa-miR156c	-8.4278205	-7.6998574	-6.733190175	-8.702083625	-8.606851025	-8.12834925	-8.1873396	-8.12324475	-7.355155775
osa-miR156b	-9.200368	-9.71268475	-8.133104675	-8.796880375	-9.4008165	-8.1440685	-8.603481575	-10.10709988	-8.048411425
osa-miR156a	-9.25947225	-9.2408605	-8.1490825	-9.208109	-7.80491335	-8.0736125	-7.874467925	-9.3670905	-7.9544257
osa-miR156g	-8.29592475	-8.0100088	-7.3074775	-9.1739325	-9.3211425	-8.16054225	-8.7907185	-9.14489425	-6.81563735
osa-miR156f	-7.668491675	-7.24205235	-8.181052	-8.104118375	-7.987807525	-8.12488	-7.56121435	-8.47921225	-8.03284875
osa-miR156e	-7.738502375	-6.979623375	-6.126402525	-7.960088	-8.56929775	-8.046095625	-8.5005295	-7.9745245	-7.653838375
osa-miR156d	-5.671451775	-6.51279655	-5.41594075	-6.50596755	-6.64396905	-5.559489	-5.55906125	-6.608334	-5.4596479
osa-miR159f	-5.2966138	-4.884818675	-5.380771925	-4.0753153	-4.254346575	-4.079215675	-5.91611725	-4.713422625	-6.03171225
osa-miR159d	-8.231699675	-7.13408085	-7.5290708	-7.60651735	-8.346444225	-7.28323385	-8.548573	-7.741376225	-7.81022525
osa-miR159e	-6.458919225	-5.6326411	-6.200296075	-5.196172125	-5.887866625	-5.462574075	-6.156405	-5.92916375	-6.6365218
osa-miR159b	-5.964821275	-6.429291675	-5.780244475	-6.8467229	-6.654079825	-5.80210805	-6.521292925	-6.294837625	-5.5841877
osa-miR159c	-6.001960275	-5.071547225	-5.73295775	-4.4335878	-4.821593925	-4.355285875	-6.005595425	-5.220438725	-6.219231075
osa-miR390	-9.21782875	-9.7293645	-8.08000665	-9.470985625	-9.3585275	-7.64295265	-8.63907975	-10.0106885	-7.93583845
osa-miR159a	-2.140325075	-1.511337775	-1.195884	-1.775966875	-1.59928085	-1.26685835	-1.969164625	-1.103464125	-0.693865543
osa-miR530	-8.43387205	-8.352785375	-8.122547125	-8.8803595	-8.861882	-8.052969325	-8.685324	-8.953620075	-7.838380975
