probeName	Anther_0.3-0.6 mm	Anther_0.7-1.0 mm	Anther_1.2-1.5 mm	Anther_1.6-2.0 mm	Embryo_07 DAF	Embryo_10 DAF	Embryo_14 DAF	Embryo_28 DAF	Embryo_42 DAF	Endosperm_07 DAF	Endosperm_10 DAF	Endosperm_14 DAF	Endosperm_28 DAF	Endosperm_42 DAF	Inflorescence_0.6-1.0 mm	Inflorescence_3.0-4.0 mm	Inflorescence_5.0-10 mm	LeafBlade_125DAT_12:00	LeafBlade_125DAT_24:00	LeafBlade_27DAT_12:00	LeafBlade_27DAT_24:00	LeafBlade_76DAT_12:00	LeafBlade_76DAT_24:00	LeafSheath_27DAT_12:00	LeafSheath_27DAT_24:00	LeafSheath_76DAT_12:00	LeafSheath_76DAT_24:00	Lemma_1.5-2.0 mm floret	Lemma_4.0-5.0 mm floret	Lemma_7.0 mm floret	Ovary_01 DAF	Ovary_03 DAF	Ovary_05 DAF	Ovary_07 DAF	Palea_1.5-2.0 mm floret	Palea_4.0-5.0 mm floret	Palea_7.0 mm floret	Pistil_05-10 cm inflorescence	Pistil_10-14 cm inflorescence	Pistil_14-18 cm inflorescence	Root_27DAT_12:00	Root_27DAT_24:00	Root_76DAT_12:00	Root_76DAT_24:00	Stem_83DAT_12:00	Stem_83DAT_24:00	Stem_90DAT_12:00	Stem_90DAT_24:00
LOC_Os03g38210.1	-3.3993491000000002	-4.250704	4.4162693	-0.4313987133333334	-3.6520182333333335	-5.0137643333333335	-4.2563715	-2.0766283666666667	-1.5468130000000002	0.78889785	0.6612431200000001	-0.6984580433333333	-2.3966757666666667	-1.1105203900000002	-8.419164199999999	-8.658907633333333	-7.7714674666666665	-7.7777702333333325	-6.828619766666667	-7.7337371	-7.475910266666666	-8.307523666666667	-5.9830017333333325	-6.650605533333334	-6.457496033333332	-6.113559966666666	-3.9247519	-6.642117066666667	-5.245574	-4.065563533333333	0.05730788	-0.9777638	0.8614845333333333	0.52246539	-7.007802433333334	-6.268361466666666	-4.444546833333333	-5.1374355	-5.065556066666667	-4.201474233333333	-4.650184299999999	-3.6645146333333334	-3.9218503666666664	-2.985109766666667	-7.2505908	-5.961711033333334	-6.6136341	-3.6691641666666666
LOC_Os04g58730.1	1.41013672	0.274355892	0.519228299	0.3850663566666667	0.04943275566666668	0.5098870600000001	0.94976362	0.7375424666666667	0.6591266033333333	0.6585572649999999	0.4439671866666666	0.92708396	1.7991514000000002	1.8526795666666664	0.4226709866666667	1.2024192533333333	2.0942964666666666	3.1776358333333334	3.9091250999999994	4.166145766666666	4.748305333333334	3.6844784333333336	3.7482144	2.110632266666667	2.5015370000000003	1.8970327333333337	2.5447785	1.2567860333333334	1.8815724000000003	3.186053	0.5946807866666667	0.7663294333333334	0.4135122316666666	1.1804002233333335	1.0656760500000002	1.9287932666666665	3.0960489999999994	2.1917511333333333	2.6189238	2.676959366666667	-2.2844740666666667	-2.1920064	-1.2246208	-1.687939	0.24104499766666665	1.2598626000000002	1.9798596666666668	2.288351666666667
LOC_Os12g15680.1	-7.6785121499999995	-8.107733000000001	-8.511568333333335	-8.268167666666665	-7.8865115	-8.753392666666667	-8.132026333333332	-6.356695533333333	-7.0861641	-3.467824933333333	-2.9175021	-4.671939066666667	-1.4863678666666666	-5.871890933333333	-8.844521433333332	-8.2843553	-8.154827	-5.756773	-2.9345831666666666	-7.9508383333333335	-8.597203	-7.4256278	-6.6999857	-3.3943982333333333	-2.5835903666666664	-3.8159820999999994	-3.701059133333333	-8.016235566666666	-7.732939366666667	-7.308498766666666	-7.468426333333333	-7.2059983333333335	-8.249801	-5.522634966666666	-7.514177199999999	-7.476273666666667	-6.834285333333334	-7.563401266666666	-7.396896533333333	-8.0943798	-0.30356279333333336	-0.15999253766666666	2.6285177666666666	3.000595433333334	-8.3663608	-8.499055	-7.812855666666667	-7.955175666666666
LOC_Os03g52840.3	1.2348833	0.41140556333333334	0.5797917233333333	1.1555121666666668	1.5550534	1.8318948666666666	1.9209493333333334	1.540837566666667	1.2729419	3.0216932	2.873871466666667	2.482041366666667	1.5140501333333332	1.0442543	1.6140772666666667	1.8337434000000001	1.7664464000000002	5.878376566666667	5.446835533333332	6.500088066666667	6.156963966666667	5.840310733333332	5.6333535333333336	4.567003199999999	3.715252533333334	4.6166385666666665	4.589992266666667	1.4301560666666664	2.2976782666666664	4.375328700000001	1.1439199333333334	2.039944666666667	2.8258145666666667	2.9357538	1.4614261	2.1833365666666666	4.786519033333334	1.3621333666666668	1.5418472333333335	1.7755432000000002	3.5525986	3.5139652666666663	3.0508635999999996	2.7446854666666667	3.0286893999999998	4.0881984	4.7772532	4.608925500000001
LOC_Os06g28840.1	-2.6791649	-2.3898298	-2.9613727	-3.7842723	-3.602364533333333	-3.3229382666666667	-3.1458664000000005	-2.9250883	-3.2724283333333335	-4.753732066666667	-3.9738613	-4.347160466666667	-5.767749066666667	-3.9692583999999993	-1.9016437333333334	-1.7914613333333334	-1.7290684666666667	-1.2759637666666668	-0.3448279666666667	-0.5775658283333334	-0.6334765733333333	-0.78667577	-0.7012548533333334	-2.6994021666666668	-1.9507938999999999	-2.4510583666666665	-1.16917705	-2.1345844333333335	-2.2709642666666667	-2.210538233333333	-2.503558166666666	-2.4861606	-3.3520686000000004	-3.7417751999999997	-2.1432469333333333	-2.3095859	-2.179585766666667	-2.143428166666667	-1.8817135333333335	-1.7336165333333333	-4.202697	-3.8346944	-4.087909033333333	-3.573424166666667	-2.4952624333333335	-1.7138020333333335	-3.6014327666666666	-2.2351926666666664
LOC_Os02g03750.1	-2.64464995	-1.5482692333333334	-2.4704501000000003	-5.0549384	-8.972908833333333	-9.012722666666667	-8.139871000000001	-8.331597566666668	-7.121780799999999	-7.2173826666666665	-5.495200133333333	-3.3092302	-2.5356734666666667	-3.0660671	-8.180231666666666	-6.933917366666667	-7.133157433333333	-8.3038004	-8.5439305	-8.209276666666666	-7.6279653	-7.846611500000001	-7.557051866666666	-7.628441666666666	-6.421005699999999	-6.2781476666666665	-8.376297666666668	-5.923113700000001	-4.957931833333333	-8.927036666666668	-6.663670733333333	-6.327322666666667	-8.625836	-6.7592360000000005	-5.060372533333333	-4.538326233333334	-9.059953666666667	-5.8862667	-5.838980800000001	-6.1055061	-6.600876800000001	-6.6496831	-8.153588166666667	-8.359236833333334	-4.534540666666667	-4.7749926	-3.9605889666666663	-4.397619733333333
LOC_Os07g47100.2	0.2325077065	0.60226059	-0.17956065833333335	0.24678071333333332	-1.0931078666666665	-0.9360494500000001	-1.2475691	-1.8565422666666667	-2.1345145	-2.8716340333333332	-2.7121007	-1.9682183000000002	0.35171604333333334	-0.07097276333333334	-0.14812342	0.7458845733333334	1.0091412866666667	-2.4845133	-2.1711393666666665	-2.309656766666667	-1.9376503999999999	-1.5169696666666665	-1.652175266666667	-0.48700714000000006	-0.008809088333333331	-1.5887627666666668	-2.181654433333333	1.5876175666666665	1.3289677333333334	-1.7031821999999999	-0.13770580233333332	0.40727964666666666	-2.0913330666666665	-2.4234066	2.0293490000000003	1.2325000666666668	-1.6865692333333333	0.17298221666666666	-0.2731145173333333	-0.3107633566666667	-0.9523903666666667	-1.17461011	-2.4238698	-1.7695376000000003	1.7980782333333334	0.03285154000000001	0.12878003666666663	-0.55224991
LOC_Os02g05670.1	-8.42437885	-5.367810666666666	-1.5356105433333334	-6.874275333333333	-9.740853333333332	-9.159444166666667	-8.157193	-8.486445999999999	-7.288787766666666	-8.0025466	-8.116505533333333	-7.849635666666667	-6.957607499999999	-7.898599	-7.576481866666666	-8.943578566666666	-8.880989333333334	-8.160483366666668	-8.500357	-8.254734333333333	-8.427396166666666	-8.294043	-8.279452566666668	-7.6010901	-7.0460568666666665	-6.3880254333333335	-7.830887466666667	-2.8292150600000006	-7.918952999999999	-5.623021033333334	0.16952228666666666	-3.5929325333333337	-5.9006575	-6.418231	-2.1787596333333332	-7.4861439999999995	-6.492436766666667	-8.0234369	-7.229156066666666	-8.459884866666668	-6.154247000000001	-4.532300333333333	-4.838023199999999	-6.3888848666666656	-9.322564499999999	-8.571134899999999	-7.906671333333333	-6.203721033333333
LOC_Os09g07320.2	-7.942254999999999	-7.9088579999999995	-8.476135	-8.761073999999999	-7.268737166666667	-6.776678100000001	-6.6120106000000005	-5.628579566666667	-5.321646733333334	-7.809455033333333	-8.045142566666666	-7.690662466666666	-6.7798694	-5.675099933333333	-8.099243000000001	-7.796096666666667	-7.5323145333333335	-5.261243633333334	-5.2388957666666665	-6.684368466666666	-6.492281233333334	-6.0253011	-6.637037200000001	-7.654497733333334	-7.5898663	-6.231699266666666	-7.1385651999999995	-7.958128066666667	-7.6029719	-8.50063	-8.170961566666668	-8.0489858	-8.124969166666668	-8.243680666666668	-7.628237766666667	-8.121635333333332	-8.162098833333333	-8.035359766666666	-7.308322533333334	-7.390136966666667	-7.616086	-7.654860266666667	-7.466654433333333	-7.792666566666665	-7.542118666666667	-7.2836459	-7.7253592	-7.516525233333333
LOC_Os04g25740.1	-3.71937225	-4.800641433333333	-4.613277233333334	-6.7623758	-7.336273066666666	-7.601175166666667	-7.7157236000000005	-6.761012566666667	-5.904049833333333	-6.966899966666666	-7.639894166666667	-6.870245833333333	-6.621390600000001	-6.421446166666667	-5.812855566666666	-6.1419134	-5.995405033333333	-2.1324532666666665	-2.7674104666666666	-3.5379661	-3.341996033333333	-2.266681033333333	-2.388415933333333	-3.5332870666666665	-5.369298099999999	-2.2904445	-2.745941966666667	-4.058290033333333	-4.865927766666666	-4.2521585	-4.186107966666667	-7.4241126	-8.851974166666666	-6.836645633333333	-3.4883259	-4.590554433333334	-4.124001633333333	-4.803051333333333	-4.350383133333334	-4.128598233333333	-6.6445851000000005	-6.519142266666666	-4.211197333333334	-5.358294566666667	-4.703276733333333	-4.282937366666666	-2.8799126666666663	-4.339683033333333
