intergenic_density
0.0533333
0.293333
0.02
0.12
0.0666667
0.16
0.0533333
0.0666667
0.0333333
0.08
0.04
0.0933333
0.0266667
0.126667
0.12
0.08
0.0533333
0.04
0.0666667
0.193333
0.2
0.0466667
0.00666667
0.0666667
0.06
0.166667
0.0933333
0.0333333
0.206667
0.0266667
0.0533333
0.06
0.04
0.146667
0.146667
0.0733333
0.0266667
0.0533333
0.04
0.126667
0.02
0.0866667
0.1
0.0266667
0.113333
0.166667
0.16
0.113333
0.1
0.133333
0.166667
0.06
0.0466667
0.04
0.04
0
0
0.166667
0.02
0.0266667
0.0466667
0.0333333
0.133333
0.0666667
0.02
0.08
0.02
0.16
0.1
0.0666667
0.0333333
0.0866667
0.14
0.0266667
0.16
0.02
0.0333333
0.04
0.14
0.18
0.0133333
0.02
0.0933333
0.06
0.12
0.0533333
0.113333
0.0333333
0.0466667
0.08
0
0.1
0.0533333
0.0733333
0.0866667
0.146667
0
0.14
0.126667
0
0.0866667
0.0266667
0.0733333
0
0.34
0.02
0
0.06
0.373333
0.113333
0.0466667
0.166667
0.0933333
0.02
0.12
0.1
0.0266667
0.126667
0.133333
0.08
0.166667
0.153333
0.0933333
0.193333
0.0666667
0.0333333
0.0266667
0
0.00666667
0.0266667
0.08
0.0266667
0.04
0.126667
0.0733333
0.28
0.153333
0.12
0.0266667
0.0533333
0.106667
0.106667
0.0533333
0.00666667
0.0666667
0.4
0.0333333
0.04
0.0133333
0.1
0.22
0.193333
0.0666667
0
0.126667
0.0466667
0.0466667
0.206667
0.06
0.24
0.14
0.113333
0.0733333
0.126667
0.0466667
0.0266667
0.146667
0.1
0.16
0.1
0.146667
0.00666667
0.02
0.00666667
0.213333
0.24
0.1
0.04
0.2
0.08
0.0666667
0.14
0.126667
0.2
0.153333
0.126667
0.153333
0.0266667
0.00666667
0.0333333
0.08
0.22
0.0466667
0.12
0.0866667
0.173333
0.0666667
0.02
0.02
0.14
0.0333333
0.04
0.12
0.06
0.0133333
0.04
0.106667
0.12
0.0666667
0.0933333
0.0533333
0.00666667
0.02
0.04
0.04
0.04
0.0266667
0.12
0.113333
0.0466667
0.0666667
0.0133333
0.18
0.126667
0.04
0.0266667
0
0.0333333
0.02
0.113333
0.26
0.0533333
0.0133333
0.186667
0.186667
0.04
0.106667
0.04
0.0133333
0.18
0.0533333
0.0466667
0.0533333
0.126667
0.0533333
0.0133333
0.04
0.02
0.0733333
0.0266667
0.0533333
0.0933333
0.0333333
0.0266667
0.366667
0.206667
0.06
0.146667
0.0266667
0.04
0.0333333
0.0466667
0.3
0.113333
0.08
0.0466667
0.0533333
0.173333
0.146667
0.0466667
0.113333
0.0866667
0.18
0.0666667
0.213333
0.18
0.0733333
0.08
0.0533333
0.0533333
0.1
0.206667
0
0.0133333
0.04
0.186667
0.02
0.0533333
0.0266667
0.133333
0.0533333
0.0733333
0.0266667
0.0866667
0.0133333
0.08
0.153333
0.00666667
0.0333333
0.293333
0.12
0.0866667
0.0333333
0.133333
0.04
0.04
0.0133333
0.02
0.126667
0.0533333
0.246667
0.0133333
0.0466667
0.186667
0.206667
0.02
0.06
0.0133333
0.0533333
0.146667
0.04
0.0133333
0.18
0.0133333
0.0133333
0.173333
0.0533333
0.0333333
0.113333
0.02
0.0866667
0.0333333
0.02
0.1
0.153333
0.126667
0.106667
0.04
0.3
0.0466667
0.0466667
0.106667
0.02
0.08
0.06
0.133333
0.28
0.213333
0.0466667
0.12
0.0333333
0.0733333
0.02
0.133333
0.0133333
0.06
0.126667
0.04
0
0.133333
0.0466667
0.173333
0
0
0.213333
0.0533333
0.0266667
0.12
0.206667
0.06
0.0133333
0.286667
0.146667
0.0333333
0.42
0.0733333
0.08
0.166667
0.08
0
0.0666667
0.0133333
0.0933333
0.12
0.166667
0.1
0.0933333
0.04
0.04
0.04
0.0866667
0.06
0.04
0.00666667
0.04
0.02
0.133333
0.166667
0
0.153333
0.106667
0.126667
0.146667
0.0933333
0
0.0666667
0
0.133333
0.0866667
0.153333
0.273333
0.0733333
0.16
0.1
0.14
0.0666667
0.14
0.173333
0.0666667
0.06
0.106667
0.166667
0.0333333
0.126667
0.0666667
0.16
0.0133333
0.14
0.106667
0.08
0.0266667
0.133333
0.0266667
0
0.14
0.0466667
0.106667
0.173333
0.0733333
0.06
0.0333333
0.206667
0.0733333
0.146667
0.0933333
0.0133333
0.0133333
0
0.1
0.0666667
0.226667
0.0333333
0.0866667
0.06
0.193333
0.0866667
0.14
0.00666667
0.02
0.0533333
0.04
0.0866667
0.333333
0.08
0.04
0.14
0.04
0.3
0.02
0.113333
0.193333
0.0733333
0.226667
0.02
0.173333
0.126667
0
0.24
