ID	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632
osa-miR439a	-8.7542355	-9.13221775	-7.1039297	-9.632077	-8.06095175	-7.730207925	-8.674694	-8.83199785	-8.0729095	-9.043253	-9.689335625	-8.599025	-6.414361425	-7.300803425	-6.7747891	-8.34974575	-9.965058625	-7.73922235	-9.80557125	-9.3450825	-8.521832	-9.49497875	-10.125725	-9.51901225	-6.9238036	-5.776706775	-6.030463225	-9.16446425	-9.5074865	-7.400672025	-9.19624475	-10.0678135	-8.22025525	-9.58031575	-9.939887	-8.894409125	-9.40109275	-9.413553875	-8.142359	-7.933451875	-9.394420375	-8.864321
osa-miR531	-8.099866438	-7.6230951	-6.654761138	-8.82918275	-8.154269125	-6.131622863	-8.4943965	-8.081077388	-7.5995456	-8.700145438	-8.318552075	-7.4095812	-7.581118888	-8.20069745	-6.908345438	-7.630725138	-8.486591138	-6.78866495	-8.898550788	-8.911799888	-7.947818	-8.9830715	-8.998965438	-8.423370975	-6.6412561	-5.47306145	-6.7396367	-8.242697588	-8.117862238	-7.294216288	-8.362925325	-8.63793245	-7.49383315	-8.139259875	-8.803613625	-7.772541663	-8.2813023	-8.263205763	-7.467743613	-8.266190013	-8.218246313	-7.79828835
osa-miR439g	-8.76592375	-9.151470125	-7.554123575	-9.674388125	-9.137527375	-6.1486484	-7.522779125	-8.478488	-8.083871	-8.97030075	-9.82604025	-7.887875225	-6.900126	-7.145336125	-7.12169505	-8.38863375	-9.81575075	-8.74065525	-9.8235165	-9.83637875	-8.474778	-9.52716325	-10.15147025	-8.144919	-6.96318045	-5.81105665	-6.97711545	-9.19541225	-9.529915	-7.43180175	-9.03426575	-9.766689	-8.2683385	-9.30231225	-9.915642	-8.0871916	-9.4132355	-9.70812425	-8.357840625	-9.5785295	-10.0540885	-8.7215405
osa-miR395v	-8.358897425	-8.915650875	-7.475808025	-9.301128	-9.156745	-7.695648075	-8.656059875	-8.8188295	-8.490790125	-9.038656375	-10.1010545	-8.56548825	-8.109348725	-9.2440695	-8.212272	-7.509749925	-9.5207985	-8.48321375	-9.1883474	-9.760768	-8.5099235	-9.469720375	-9.8286045	-9.51027675	-6.787354975	-5.125359225	-6.9226209	-9.13698175	-9.479969625	-7.370245575	-9.99844075	-9.4520449	-8.179658075	-9.74446625	-9.12867625	-8.8554245	-9.43776525	-9.776760875	-8.273906625	-9.520415	-10.00030675	-8.83066925
osa-miR439e	-8.81094875	-8.11451225	-7.11940165	-9.7099165	-8.7131985	-6.6897931	-7.831331075	-8.775057625	-7.7722219	-9.01766125	-9.25013275	-7.313797825	-5.7345626	-6.865041075	-6.080436275	-8.40170575	-9.731553375	-8.591864125	-9.72358075	-9.836423	-8.476712	-9.53524375	-10.043931	-9.0164905	-6.20469105	-5.839926025	-6.933657275	-8.74561435	-8.528419	-7.46968675	-7.83232825	-9.7507035	-7.360317875	-9.59299675	-9.863911625	-8.507681375	-9.439306375	-9.7424025	-7.90219435	-8.84308465	-9.71185775	-8.92876
osa-miR439d	-8.489510375	-8.437403825	-7.4953695	-8.387580575	-8.25383845	-7.7238742	-8.54084775	-8.400480675	-8.21568675	-8.9195445	-9.66420875	-7.38669015	-6.507152425	-6.8733844	-6.627281	-8.32096125	-9.681824875	-8.648299	-9.2612295	-9.184635	-8.43366175	-9.4717445	-10.09087625	-9.38262975	-6.8644089	-5.741918	-6.906773625	-9.1418145	-9.42208525	-7.37669025	-7.86827585	-10.02982575	-8.2002475	-9.68027225	-9.27178325	-8.8641065	-9.132640375	-9.6925995	-8.22385495	-8.7904444	-9.991752	-8.841499
osa-miR439j	-7.230017925	-7.40109675	-6.730380225	-6.635912775	-8.2347124	-6.924949575	-6.739271475	-6.154557625	-6.290467225	-7.73131185	-8.135350575	-7.02899175	-3.7368954	-3.34735715	-3.687686525	-6.8311454	-7.8709959	-6.472503	-8.6722716	-7.85886875	-7.557989675	-8.21112615	-8.154073675	-8.4596422	-5.41909335	-5.706747225	-5.94779695	-7.528546175	-7.488338775	-7.499227775	-8.95830485	-8.404921825	-6.42549895	-8.407418575	-8.1798939	-7.819344	-8.61337765	-8.81893725	-7.958893625	-7.910412625	-8.24575	-8.069221975
osa-miR439h	-8.30776875	-8.193076425	-6.816846425	-9.121451375	-7.56453855	-7.034242125	-8.673915	-9.21720625	-8.221943525	-9.0312155	-9.11861735	-7.16042715	-6.55426825	-6.25955535	-6.378993875	-8.135964375	-8.429336675	-7.65176025	-9.206284	-9.6991185	-8.0176325	-9.5382065	-9.6462485	-8.0835068	-6.901088825	-5.595345525	-6.998893425	-7.10797265	-8.20488445	-6.990733425	-8.10542405	-9.45585675	-7.89622795	-8.795189	-9.254607	-8.258116825	-9.45921275	-9.34873225	-7.1235837	-7.596420075	-8.476253475	-8.904552
osa-miR162a	-5.2803373	-4.3714079	-4.73228135	-5.42230845	-5.4364094	-5.94355625	-4.935506425	-4.2967947	-4.471189275	-5.8198346	-4.620244	-3.91452655	-3.922647175	-4.01770215	-3.853091925	-4.5247378	-4.860391225	-4.720745	-4.74142865	-5.000955	-4.593952125	-5.2536089	-5.487812475	-5.180762775	-4.387436075	-4.980297975	-3.32709625	-3.3683884	-2.87446665	-4.6772796	-2.75243735	-3.50757695	-2.9202087	-4.24046935	-2.9835005	-3.4978752	-3.5487697	-3.827144875	-3.477667325	-2.3795867	-3.8040297	-3.636399275
osa-miR162b	-5.121438675	-4.787431475	-5.193384275	-5.017412225	-4.7772154	-5.31752945	-5.15278565	-4.508503225	-4.83708445	-5.68457245	-4.8394889	-4.904894375	-4.516377425	-4.6217076	-4.6198883	-4.967888375	-5.447478325	-5.680054025	-5.63815735	-5.772767425	-6.42757065	-6.26871435	-6.2871921	-6.37472085	-5.2731247	-5.569419125	-4.1863628	-4.33853425	-3.7492103	-5.013477525	-3.74983195	-4.06910475	-3.96861485	-4.856563625	-3.8093156	-4.561537225	-4.5462256	-4.730569825	-4.794639075	-3.677505975	-4.595668	-4.892242125
osa-miR394	-8.60941825	-9.146569	-7.48402895	-9.13953375	-8.851992	-7.702886725	-8.59295675	-8.56006075	-8.274394125	-8.92385975	-8.36758025	-6.575054975	-7.9509652	-9.16175825	-8.06233485	-8.28505925	-9.91590075	-8.648384375	-8.3035201	-9.35805125	-7.9091269	-8.752604075	-8.710817575	-8.121791	-6.860797	-5.615973	-6.455194925	-7.345101575	-8.044172175	-6.5098191	-5.664320675	-8.39718075	-7.610661225	-8.436694	-6.321398075	-8.53197725	-8.033960075	-8.63500075	-8.17525225	-8.73793025	-8.8563825	-8.516995
osa-miR441a	-6.907965	-7.968019325	-4.968328025	-9.17978525	-8.99633975	-6.6336585	-8.373305	-9.079412	-7.6991692	-8.795385	-9.950268625	-6.93470965	-7.99775775	-9.09928425	-8.0012842	-7.58671645	-9.75573525	-7.726930725	-8.946985475	-9.127569	-8.07920875	-8.5610349	-8.91012385	-8.562735925	-6.15237375	-4.878668525	-6.6661003	-8.8707655	-9.10532225	-6.0909156	-8.8947165	-9.330497	-7.3630563	-9.379909625	-9.62094775	-8.081057875	-8.606695325	-9.592906625	-7.962640175	-9.000203775	-9.833192	-8.52979525
osa-miR399e	-8.635182375	-8.3634455	-7.49040075	-8.9587835	-8.801831325	-7.771220175	-8.4857455	-8.42874925	-8.2562485	-8.53700725	-7.940966325	-7.410137625	-7.77138825	-8.76948575	-8.099929625	-7.8041025	-8.5755175	-7.899010875	-8.85205775	-8.2742835	-8.575315	-8.2968755	-7.798038	-9.00540375	-6.99501465	-5.837213175	-6.51180525	-8.4178415	-7.924161325	-7.2468954	-8.95291665	-8.8138045	-7.7497195	-8.60608475	-9.53835525	-8.63054225	-8.740843025	-8.798252	-8.060697	-8.87571725	-8.811975	-8.0956508
osa-miR441c	-5.261535925	-6.1608834	-3.2440485	-6.50627725	-6.241458225	-5.049831675	-6.68158255	-6.603526225	-5.859894775	-6.9384867	-6.97905855	-5.8518071	-6.758113125	-6.438663675	-5.530804775	-6.18327245	-6.5187529	-5.303310025	-6.8972114	-7.06417385	-5.953333375	-7.083994425	-6.6567142	-6.596186625	-6.043055425	-5.4834971	-6.07741965	-7.247338075	-6.9310159	-5.4433091	-6.7408531	-7.29141925	-6.3922129	-6.806418525	-6.448012825	-6.250341425	-6.67608645	-6.808255825	-5.935472975	-7.073054	-7.2533811	-6.535558025
osa-miR446	-7.900559925	-9.170546625	-7.01593315	-9.1009865	-9.09585225	-7.57586975	-8.59502	-9.171605375	-8.428857	-8.97649825	-10.0160895	-8.315803	-8.01489525	-9.153949125	-8.02167875	-7.795403025	-9.850899625	-8.50338515	-9.47300025	-9.26934975	-8.49377825	-8.778682375	-8.687367675	-9.334883	-6.80504615	-5.548566875	-6.409652875	-9.080443375	-9.37972875	-7.23569595	-9.5884945	-9.56881225	-8.129247825	-8.90708925	-9.90308125	-8.588368	-9.24443125	-9.478447	-8.0922317	-9.41451475	-9.98107375	-8.7731385
